spearman,kendall,mae,r2,control,target
0.023877173465552542,0.019498387674668577,1.4733333333744445,-0.9660514976163228,shuffled_labels,perceived_unfairness_1_7
-0.08046100393355159,-0.06072331824446364,2.204350795246617,-2.664447835738297,random_features,perceived_unfairness_1_7
-0.041792801895005796,-0.030360823345848244,1.8906473125358223,-1.9501643947362015,shuffled_fairness_debt,perceived_unfairness_1_7
0.2767988896951642,0.20740951551001094,1.0466648653352586,0.0991657848019667,scenario_label_only,perceived_unfairness_1_7
-0.027923097568965518,-0.020905245007940495,1.1845356140452665,-0.1725136564851102,annotator_id_only,perceived_unfairness_1_7
0.012758481674923628,0.010513011586960651,1.5700000000691667,-0.9081349245501062,shuffled_labels,frustration_risk_1_7
-0.018178709310594558,-0.013249658330137241,2.2043809849987337,-1.9426897113760488,random_features,frustration_risk_1_7
-0.011774537781346484,-0.008838089893725653,2.0115711540436894,-1.7082820026091405,shuffled_fairness_debt,frustration_risk_1_7
0.2574324128089694,0.1960423991662248,1.1684212643589253,0.08052375261713773,scenario_label_only,frustration_risk_1_7
-0.007916252971896862,-0.006016061902958019,1.2920240908743967,-0.16559416755107192,annotator_id_only,frustration_risk_1_7
0.009525259937940764,0.008121621621621621,1.8299999999369443,-0.9737210255934168,shuffled_labels,progression_mismatch_salience_1_7
-0.01783136194747063,-0.012435494346823004,1.6061151977038743,-0.4672443254082088,random_features,progression_mismatch_salience_1_7
-0.03451818377084213,-0.024805096335562986,1.7960127681486975,-0.8935235733314715,shuffled_fairness_debt,progression_mismatch_salience_1_7
0.33922649552973705,0.25298657905823857,1.1899277644492778,0.21199987882866922,scenario_label_only,progression_mismatch_salience_1_7
-0.09970241968617434,-0.07245124446658473,1.5073378063829348,-0.21958205964119615,annotator_id_only,progression_mismatch_salience_1_7
-0.0014851825729939154,-0.002062756501622272,1.5166666667083333,-0.9814788428098025,shuffled_labels,system_concern_1_7
0.06055409894998731,0.04422438880238608,1.8715904133853727,-1.4396250243089002,random_features,system_concern_1_7
-0.06128961483722647,-0.04483496260114229,1.9631612515333665,-1.8929607876873402,shuffled_fairness_debt,system_concern_1_7
0.2344305505624257,0.1747281617902681,1.1016594214514424,0.07755690113966607,scenario_label_only,system_concern_1_7
-0.11520151882607477,-0.0852791978288595,1.2743096247718941,-0.2357311456272395,annotator_id_only,system_concern_1_7
0.019628530770911052,0.0154640647990743,1.530000000058889,-0.9970414197855031,shuffled_labels,acceptability_reversed_1_7
0.023004124427173665,0.01721160967408272,2.018852286928975,-1.7341153509646507,random_features,acceptability_reversed_1_7
-0.027158257102701002,-0.018891225957991694,1.9479664808161354,-1.7396382031923476,shuffled_fairness_debt,acceptability_reversed_1_7
0.23521604678584804,0.17573538350640033,1.095986826941124,0.07793791260882099,scenario_label_only,acceptability_reversed_1_7
-0.016341608973077723,-0.012260554851736133,1.2259162058228779,-0.16868631073221496,annotator_id_only,acceptability_reversed_1_7
