profile,seed,rating,policy,scenario,mmr_rank_divergence,visible_rank_volatility,rank_mmr_hysteresis_area,fairness_debt_index,exposure_risk_index
full_core,201,dynamic_k,multi_objective,cold_start,26.99187651908704,172.35533405907648,2429.2688867178335,0.2489335426801751,0.4839164972749563
full_core,201,dynamic_k,multi_objective,pareto_fast,27.292421145666605,170.70888565622982,2456.3179031099944,0.28466162139706086,0.4953573438162757
full_core,201,dynamic_k,multi_objective,pareto_strict,27.59779386558468,171.4671940904141,2483.8014479026215,0.29690158384105453,0.5144143073111058
full_core,201,dynamic_k,multi_objective,proxy_default,27.206706619810397,171.29980365559376,2448.603595782936,0.2964032732051498,0.5028777370525281
full_core,201,dynamic_k,multi_objective,proxy_divergence_heavy,27.206706619810397,171.29980365559376,2448.603595782936,0.2964032732051498,0.5377787365503633
full_core,201,dynamic_k,multi_objective,proxy_exposure_heavy,27.206706619810397,171.29980365559376,2448.603595782936,0.2964032732051498,0.6019710415254859
full_core,201,dynamic_k,multi_objective,proxy_waiting_heavy,27.206706619810397,171.29980365559376,2448.603595782936,0.2964032732051498,0.5624314123883545
full_core,201,dynamic_k,multi_objective,rank_mmr_divergence,44.4185727218561,145.16837572855223,3997.671544967049,0.3003089363221911,0.5316974739295087
full_core,201,context_aware,nearest,rating_validity,28.8650510186532,185.93107774347607,2597.854591678788,0.5374385955061325,0.7477076673238072
full_core,201,drift_aware,nearest,rating_validity,25.86071465533845,110.94440601373618,2327.4643189804606,0.4618978446242798,0.7261583663601702
full_core,201,dynamic_k,nearest,rating_validity,28.074868730550172,184.44154992350724,2526.7381857495157,0.5316618340033284,0.746726798531553
full_core,201,elo,nearest,rating_validity,19.23668093481852,157.43994185827268,1731.3012841336667,0.5976586370640984,0.7676583906505448
full_core,201,glicko_like,nearest,rating_validity,22.685801961486835,164.2358096000116,2041.7221765338152,0.6084030643068733,0.763562540703379
