scenario,unfair_exposure_per_player,smurf_victimization_per_player,low_activity_exposure_per_player,tail_p95,fairness_debt_index
rating_validity,16.887586666666667,7.4647266666666665,6.425507007940658,0.4484582691720716,0.5622383066744426
team_matchmaking,14.795411111111111,9.244522222222223,5.7246972619749465,0.40472564970345104,0.43880912702097125
smurf_disruption,12.382666666666667,16.6071,4.529526971762672,0.34078040069730603,0.40083926932782254
rank_mmr_divergence,11.287666666666667,12.842533333333332,4.643522676602645,0.3170116717017512,0.30752965745011823
skill_drift,11.303,12.576266666666665,4.568197864117996,0.32106449970674733,0.2989725029408316
proxy_divergence_heavy,11.278666666666666,12.547233333333335,4.532882571183274,0.3190934227126642,0.29602791052593963
proxy_default,11.278666666666666,12.547233333333335,4.532882571183274,0.3190934227126642,0.29602791052593963
proxy_waiting_heavy,11.278666666666666,12.547233333333335,4.532882571183274,0.3190934227126642,0.29602791052593963
proxy_exposure_heavy,11.278666666666666,12.547233333333335,4.532882571183274,0.3190934227126642,0.29602791052593963
role_scarcity,11.214,11.607966666666666,4.451464467050482,0.31794716394370387,0.2951434121943459
seasonal_reset,11.366,12.417166666666667,4.5498689064479745,0.31816069691361715,0.291127863699584
pareto_fast,11.178,12.522966666666667,4.47487535317841,0.3178753891335963,0.2899726040270912
pareto_strict,11.221333333333334,12.4783,4.49375046077265,0.31873472756098953,0.28995338199944903
cold_start,11.166333333333334,12.484066666666667,4.427506736335559,0.3185667229949959,0.2810373408690988
