subset,question,feature,human_rating,n,spearman,spearman_ci_low,spearman_ci_high,kendall,permutation_p
all_valid_rows,Q1 fairness debt vs perceived unfairness,fairness_debt_index,perceived_unfairness,600,0.6129179873759266,0.5594379495843781,0.6623217858453331,0.47324575848460554,0.001996007984031936
all_valid_rows,Q1 fairness debt vs frustration risk,fairness_debt_index,frustration_risk,600,0.5509542583955821,0.4880757075657777,0.6064144551685164,0.41922844540496745,0.001996007984031936
all_valid_rows,Q1 fairness debt vs system concern,fairness_debt_index,system_concern,600,0.35583596512904647,0.2805455123477337,0.42361566558992386,0.2655381142951118,0.001996007984031936
all_valid_rows,Q1 fairness debt vs acceptability,fairness_debt_index,acceptability,600,-0.5517102086192732,-0.6033761073532847,-0.4925021775696322,-0.418046425985645,0.001996007984031936
all_valid_rows,Q2 hysteresis vs progression mismatch,rank_mmr_hysteresis_area,progression_mismatch_salience,600,0.9152826211349224,0.8999701989450768,0.9275397340979191,0.7861844940162821,0.001996007984031936
all_valid_rows,Q2 hysteresis vs system concern,rank_mmr_hysteresis_area,system_concern,600,0.6920302865744881,0.6418230530333435,0.7346347938066673,0.5434802329786089,0.001996007984031936
all_valid_rows,Q3 smurf exposure vs perceived unfairness,smurf_victimization,perceived_unfairness,600,0.47222739288619325,0.40083971268775254,0.5334253414191975,0.35304773587545546,0.001996007984031936
all_valid_rows,Q3 smurf exposure vs system concern,smurf_victimization,system_concern,600,0.629477441441496,0.5746495241302084,0.6714301716611455,0.47561035729105744,0.001996007984031936
all_valid_rows,waiting pressure vs frustration risk,waiting_time_proxy,frustration_risk,600,0.13115646247678414,0.04458109861245523,0.20848328601515936,0.09736845150792107,0.003992015968063872
all_valid_rows,role mismatch vs system concern,role_mismatch_rate,system_concern,600,-0.12781224224262913,-0.20538437310786847,-0.0468246678996084,-0.09458785300396952,0.001996007984031936
all_valid_rows,balance proxy vs perceived unfairness,win_prob_deviation_proxy,perceived_unfairness,600,0.6129179873759266,0.5594379495843781,0.6623217858453331,0.47324575848460554,0.001996007984031936
attention_pass_rows,Q1 fairness debt vs perceived unfairness,fairness_debt_index,perceived_unfairness,590,0.6218558611794917,0.5728556802478785,0.66549483586495,0.48087576568722645,0.001996007984031936
attention_pass_rows,Q1 fairness debt vs frustration risk,fairness_debt_index,frustration_risk,590,0.5588738198783001,0.5007363122430554,0.6142162843638315,0.4251032275862853,0.001996007984031936
attention_pass_rows,Q1 fairness debt vs system concern,fairness_debt_index,system_concern,590,0.3651165650065805,0.2910075799418848,0.4303925451058947,0.27255364535004317,0.001996007984031936
