spearman,kendall,mae,r2,model,target,feature
0.6000603890947591,0.4594381296363717,1.3898491840166782,-0.5898819123994457,win_prob_deviation_proxy,perceived_unfairness_1_7,tail_unfairness_p95
0.6128979158807741,0.4731144039328779,1.3465543043633277,-0.5428900088573245,equal_weight_fairness_debt,perceived_unfairness_1_7,fairness_debt_index
0.5130604058326901,0.3902735104155814,2.2444627963963164,-2.521903668674312,rank_mmr_hysteresis,perceived_unfairness_1_7,rank_mmr_hysteresis_area
0.4722273928861932,0.3530477358754554,2.172060862203527,-2.683379215138525,smurf_victimization,perceived_unfairness_1_7,smurf_victimization
0.6128979158807741,0.4731144039328779,1.3465543043633277,-0.5428900088573245,exposure_risk_index_proxy,perceived_unfairness_1_7,fairness_debt_index
0.6417435967845717,0.505447424174635,2.2457551428494216,-2.2714261281789265,ruikin_0,perceived_unfairness_1_7,hand_specified_multi_feature
0.5356597233288879,0.405129106919105,1.6255309049927242,-0.7057618736592397,win_prob_deviation_proxy,frustration_risk_1_7,tail_unfairness_p95
0.5510245781673031,0.4191679500715934,1.5781493079828857,-0.6492564245038523,equal_weight_fairness_debt,frustration_risk_1_7,fairness_debt_index
0.3655499568320902,0.2724635752928878,2.4549325175327605,-2.5555602834651845,rank_mmr_hysteresis,frustration_risk_1_7,rank_mmr_hysteresis_area
0.3687762918360099,0.2751085847689996,2.351588092120058,-2.601384848015471,smurf_victimization,frustration_risk_1_7,smurf_victimization
0.5510245781673031,0.4191679500715934,1.5781493079828857,-0.6492564245038523,exposure_risk_index_proxy,frustration_risk_1_7,fairness_debt_index
0.503713487025387,0.3850616493579266,2.1960261178955403,-1.7075000921978931,ruikin_0,frustration_risk_1_7,hand_specified_multi_feature
0.0550085877584089,0.0389198221079021,1.6884329210312323,-0.6539798847031775,win_prob_deviation_proxy,progression_mismatch_salience_1_7,tail_unfairness_p95
0.0530421439359881,0.0388830010841482,1.720802920281393,-0.7037073046155446,equal_weight_fairness_debt,progression_mismatch_salience_1_7,fairness_debt_index
0.9152826084226192,0.7861823062537628,1.3482062173745577,0.1046755742749419,rank_mmr_hysteresis,progression_mismatch_salience_1_7,rank_mmr_hysteresis_area
0.5682948627562612,0.4219255281668221,1.5334628358268183,-0.5113530591748714,smurf_victimization,progression_mismatch_salience_1_7,smurf_victimization
0.0530421439359881,0.0388830010841482,1.720802920281393,-0.7037073046155446,exposure_risk_index_proxy,progression_mismatch_salience_1_7,fairness_debt_index
0.9028428014018552,0.7653888591668574,1.0185615124789418,0.4465068254836096,ruikin_0,progression_mismatch_salience_1_7,hand_specified_multi_feature
0.3500093849544133,0.2600314100690545,1.6084421704257084,-1.0173100147490128,win_prob_deviation_proxy,system_concern_1_7,tail_unfairness_p95
0.3559538098433309,0.2655915519925332,1.5867423794117168,-1.0000198770525857,equal_weight_fairness_debt,system_concern_1_7,fairness_debt_index
0.6920302769629225,0.5434787206037239,2.2623751950642266,-2.165378118590948,rank_mmr_hysteresis,system_concern_1_7,rank_mmr_hysteresis_area
0.629477441441496,0.4756103572910574,2.1586930036906224,-2.23164388371847,smurf_victimization,system_concern_1_7,smurf_victimization
0.3559538098433309,0.2655915519925332,1.5867423794117168,-1.0000198770525857,exposure_risk_index_proxy,system_concern_1_7,fairness_debt_index
0.7163964173035763,0.5664809371144996,2.2187943401514643,-1.9417717948468105,ruikin_0,system_concern_1_7,hand_specified_multi_feature
0.5363616940223814,0.4038520098334196,1.448547785071634,-0.5758314086248322,win_prob_deviation_proxy,acceptability_reversed_1_7,tail_unfairness_p95
0.5517127588286255,0.4179604872021802,1.4061212608272795,-0.5281858550914309,equal_weight_fairness_debt,acceptability_reversed_1_7,fairness_debt_index
0.5270862348105183,0.3992076895615208,2.230575612452377,-2.197938810540053,rank_mmr_hysteresis,acceptability_reversed_1_7,rank_mmr_hysteresis_area
0.4712668502273708,0.3511997878505442,2.16140091538024,-2.331677070295344,smurf_victimization,acceptability_reversed_1_7,smurf_victimization
0.5517127588286255,0.4179604872021802,1.4061212608272795,-0.5281858550914309,exposure_risk_index_proxy,acceptability_reversed_1_7,fairness_debt_index
0.6447422536147528,0.5042651605605635,2.0463511380245003,-1.555539723697335,ruikin_0,acceptability_reversed_1_7,hand_specified_multi_feature
0.8082519309486687,,0.5809470045607761,,ruikin_l,acceptability_reversed_1_7,multi_feature_annotation_calibrated
0.7887845177434359,,0.6101456017097046,,ruikin_m,acceptability_reversed_1_7,multi_feature_annotation_calibrated
0.7404770808375186,,0.6751514974289274,,ruikin_n,acceptability_reversed_1_7,multi_feature_annotation_calibrated
0.6998954679277046,,0.742759816878003,,ruikin_l,frustration_risk_1_7,multi_feature_annotation_calibrated
0.6695117980624108,,0.7822841245539829,,ruikin_m,frustration_risk_1_7,multi_feature_annotation_calibrated
0.6364412115116737,,0.8390220864311289,,ruikin_n,frustration_risk_1_7,multi_feature_annotation_calibrated
0.8564249112263704,,0.48699873402034743,,ruikin_l,perceived_unfairness_1_7,multi_feature_annotation_calibrated
0.8379032191433904,,0.5228449961646822,,ruikin_m,perceived_unfairness_1_7,multi_feature_annotation_calibrated
0.7832477784971805,,0.5956384141174655,,ruikin_n,perceived_unfairness_1_7,multi_feature_annotation_calibrated
0.9258438862653126,,0.46054178116620853,,ruikin_l,progression_mismatch_salience_1_7,multi_feature_annotation_calibrated
0.9219361077740891,,0.4696904570369943,,ruikin_m,progression_mismatch_salience_1_7,multi_feature_annotation_calibrated
0.8915255411097183,,0.5479971649797157,,ruikin_n,progression_mismatch_salience_1_7,multi_feature_annotation_calibrated
0.8313324271820124,,0.5348194747043036,,ruikin_l,system_concern_1_7,multi_feature_annotation_calibrated
0.8093755516298657,,0.5822356427819484,,ruikin_m,system_concern_1_7,multi_feature_annotation_calibrated
0.7697734144313798,,0.6280071057085111,,ruikin_n,system_concern_1_7,multi_feature_annotation_calibrated
