profile,seed,rating,policy,scenario,n_matches,prediction_log_loss,brier_score,rating_mae,rating_rmse,rating_volatility,expected_winprob_deviation,team_mmr_gap,role_mismatch_rate,within_team_variance,waiting_time_proxy,unfair_match_exposure,repeated_large_gap_exposure,new_player_unfair_exposure,low_activity_unfair_exposure,smurf_victimization,waiting_time_frustration,tail_unfairness_p95,cvar_unfairness_worst5,visible_rank_volatility,mmr_rank_divergence,exposure_risk_index,churn_risk_proxy,loss_streak_exposure,task_id,smurf_ratio,smurf_skill_gap,role_scarcity,role_scarcity_level,new_player_ratio,candidate_pool_size,n_players,days,matches_per_day,fairness_debt,fairness_debt_reduction_vs_nearest,smurf_victimization_delta_vs_nearest,risk_transfer_index,nearest_debt,nearest_smurf
risk_transfer,601,dynamic_k,nearest,risk_transfer,624,0.6942293044347847,0.2505401489518832,328.4924945492764,409.24556812712456,0.1304962213507237,0.2234351764750741,42.94251539956624,0.0229967948717948,53.05771516689494,5.999679487179487,1.775,0.9597222222222224,1.492063492063492,0.75,0.0,0.4659722222222222,0.4427592963118409,0.4635912198436444,123.05709164399714,17.461477351515377,0.1598688229569512,0.1598688229569512,0.4958333333333333,risk_seed601_sr0.0_gap300_low_nearest,0.0,300,low,0.08,0.1,30,720,16,120,0.4463146850470218,0.0,0.0,0.0,0.4463146850470218,0.0
risk_transfer,601,dynamic_k,nearest,risk_transfer,948,0.6933793827916397,0.2501078053368273,328.2366646862685,408.1945166954182,0.1447816383925052,0.2197031435119841,49.72761277670181,0.0113396624472573,24.21898597331048,6.124894514767932,2.1166666666666667,1.2194444444444446,1.5333333333333334,0.875,0.0,0.5604166666666667,0.4405324907741361,0.4609917013050126,123.30637565724928,19.88472210438268,0.195513568329715,0.195513568329715,0.6458333333333334,risk_seed601_sr0.0_gap300_high_nearest,0.0,300,high,0.45,0.1,30,720,16,120,0.49876379006336125,0.0,0.0,0.0,0.49876379006336125,0.0
risk_transfer,601,dynamic_k,nearest,risk_transfer,624,0.6942293044347847,0.2505401489518832,328.4924945492764,409.24556812712456,0.1304962213507237,0.2234351764750741,42.94251539956624,0.0229967948717948,53.05771516689494,5.999679487179487,1.775,0.9597222222222224,1.492063492063492,0.75,0.0,0.4659722222222222,0.4427592963118409,0.4635912198436444,123.05709164399714,17.461477351515377,0.1598688229569512,0.1598688229569512,0.4958333333333333,risk_seed601_sr0.0_gap700_low_nearest,0.0,700,low,0.08,0.1,30,720,16,120,0.4463146850470218,0.0,0.0,0.0,0.4463146850470218,0.0
risk_transfer,601,dynamic_k,nearest,risk_transfer,948,0.6933793827916397,0.2501078053368273,328.2366646862685,408.1945166954182,0.1447816383925052,0.2197031435119841,49.72761277670181,0.0113396624472573,24.21898597331048,6.124894514767932,2.1166666666666667,1.2194444444444446,1.5333333333333334,0.875,0.0,0.5604166666666667,0.4405324907741361,0.4609917013050126,123.30637565724928,19.88472210438268,0.195513568329715,0.195513568329715,0.6458333333333334,risk_seed601_sr0.0_gap700_high_nearest,0.0,700,high,0.45,0.1,30,720,16,120,0.49876379006336125,0.0,0.0,0.0,0.49876379006336125,0.0
risk_transfer,601,dynamic_k,nearest,risk_transfer,732,0.6947514550986515,0.2507676507474781,326.77049600431724,410.3920177031641,0.1344017611465302,0.2172747258983205,46.16736386865966,0.0187158469945355,75.98562756200646,5.991256830601094,1.7666666666666666,0.8236111111111111,1.7540983606557377,0.6309523809523809,0.6625,0.4979166666666667,0.4514167224947066,0.4672383466756052,134.7968532089404,16.43156134627743,0.1521228791876251,0.1521228791876251,0.4986111111111111,risk_seed601_sr0.02_gap300_low_nearest,0.02,300,low,0.08,0.1,30,720,16,120,0.4722311140811654,0.0,0.0,0.0,0.4722311140811654,0.6625
risk_transfer,601,dynamic_k,role_aware,risk_transfer,192,0.6928465972097002,0.2498562912781834,341.1400024561221,423.85212410629225,0.1161058126123857,0.1245661325691155,9.20066653547524,0.01484375,3095.0944076369165,5.8328125,0.9305555555555556,0.3541666666666667,0.4761904761904761,0.3863636363636363,0.0,0.2711111111111111,0.2576825538743985,0.2952321091512188,122.5553860817316,12.442867046550754,0.0848415162157365,0.0848415162157365,0.3791666666666666,risk_seed601_sr0.0_gap300_high_role_aware,0.0,300,high,0.45,0.1,30,720,16,120,0.08535230277402066,0.4134114872893406,0.0,0.0,0.49876379006336125,0.0
risk_transfer,601,dynamic_k,multi_objective_without_smurf_penalty,risk_transfer,192,0.6939721240821383,0.2504109016114931,341.42290330353933,424.6114700521971,0.1164467874389087,0.1233739953552497,5.745048349682363,0.0559895833333333,3108.3689309937195,5.730729166666666,0.875,0.2805555555555555,0.417910447761194,0.3409090909090909,0.0,0.24625,0.2912541347873014,0.3244187576559514,122.3261373321186,12.040797692012616,0.0773681286477263,0.0773681286477263,0.3694444444444444,risk_seed601_sr0.0_gap300_high_multi_objective_without_smurf_penalty,0.0,300,high,0.45,0.1,30,720,16,120,0.1496822241827132,0.34908156588064804,0.0,0.0,0.49876379006336125,0.0
risk_transfer,601,dynamic_k,role_aware,risk_transfer,192,0.6928465972097002,0.2498562912781834,341.1400024561221,423.85212410629225,0.1161058126123857,0.1245661325691155,9.20066653547524,0.01484375,3095.0944076369165,5.8328125,0.9305555555555556,0.3541666666666667,0.4761904761904761,0.3863636363636363,0.0,0.2711111111111111,0.2576825538743985,0.2952321091512188,122.5553860817316,12.442867046550754,0.0848415162157365,0.0848415162157365,0.3791666666666666,risk_seed601_sr0.0_gap700_high_role_aware,0.0,700,high,0.45,0.1,30,720,16,120,0.08535230277402066,0.4134114872893406,0.0,0.0,0.49876379006336125,0.0
risk_transfer,601,dynamic_k,nearest,risk_transfer,840,0.6928882605869948,0.2498716445683005,326.4195540537011,407.89537747054726,0.1402748305018656,0.2227440364040295,48.44470086008528,0.0158333333333333,69.76326556881072,5.966428571428572,1.975,1.0930555555555554,2.4444444444444446,0.6904761904761905,0.5111111111111111,0.5220833333333333,0.454653091112383,0.4713477924289621,133.71480870722925,19.11431182916612,0.1810657584607043,0.1810657584607043,0.5902777777777778,risk_seed601_sr0.02_gap300_high_nearest,0.02,300,high,0.45,0.1,30,720,16,120,0.5419751051650172,0.0,0.0,0.0,0.5419751051650172,0.5111111111111111
risk_transfer,601,dynamic_k,multi_objective_without_smurf_penalty,risk_transfer,192,0.6939721240821383,0.2504109016114931,341.42290330353933,424.6114700521971,0.1164467874389087,0.1233739953552497,5.745048349682363,0.0559895833333333,3108.3689309937195,5.730729166666666,0.875,0.2805555555555555,0.417910447761194,0.3409090909090909,0.0,0.24625,0.2912541347873014,0.3244187576559514,122.3261373321186,12.040797692012616,0.0773681286477263,0.0773681286477263,0.3694444444444444,risk_seed601_sr0.0_gap700_high_multi_objective_without_smurf_penalty,0.0,700,high,0.45,0.1,30,720,16,120,0.1496822241827132,0.34908156588064804,0.0,0.0,0.49876379006336125,0.0
