profile,seed,rating,policy,scenario,n_matches,prediction_log_loss,brier_score,rating_mae,rating_rmse,rating_volatility,expected_winprob_deviation,team_mmr_gap,role_mismatch_rate,within_team_variance,waiting_time_proxy,unfair_match_exposure,new_player_unfair_exposure,smurf_victimization,tail_unfairness_p95,cvar_unfairness_worst5,visible_rank_volatility,mmr_rank_divergence,churn_risk_proxy,loss_streak_exposure
medium,101,elo,random,baseline,966,0.6955549232221496,0.25121989575155024,360.2526942113246,471.79307078742033,0.11447208585107028,0.21065226876539922,28.06610473656178,0.0,5855.5400878428645,6.059627329192547,2.8805555555555555,2.5428571428571427,1.8125,0.44458144414255596,0.4646568094511941,138.19543990941708,14.814933002737366,0.23737178054736824,0.9125
medium,101,elo,nearest,baseline,1470,0.6944261092947281,0.2506287749446466,353.22464551945217,460.329742946433,0.1099648977074566,0.2299342038367878,27.65585410266739,0.0,80.75624859516633,6.126326530612245,3.6305555555555555,2.652173913043478,1.7277777777777779,0.4543233953407879,0.47193868183578136,139.0389800746095,14.026853896598091,0.2780485608291734,0.7486111111111111
medium,101,elo,expanding,baseline,1470,0.6944261092947281,0.2506287749446466,353.22464551945217,460.329742946433,0.1099648977074566,0.2299342038367878,27.65585410266739,0.0,80.75624859516633,6.126326530612245,3.6305555555555555,2.652173913043478,1.7277777777777779,0.4543233953407879,0.47193868183578136,139.0389800746095,14.026853896598091,0.2780485608291734,0.7486111111111111
medium,101,elo,role_aware,baseline,336,0.6930586198851938,0.24995087375808137,366.0783668363553,476.6311414344517,0.09339119523623923,0.1444775790094723,8.160954199261306,0.0,3790.8787590581196,5.968452380952381,2.0,0.3246753246753247,2.9069444444444446,0.30789146673423284,0.3402316792062823,138.5243948606202,8.015846695690804,0.13318151147389948,0.44583333333333336
medium,101,elo,fairness_constrained,baseline,1344,0.6938606943688457,0.2503524914559532,354.5354444392172,463.3274117450614,0.1089294649951782,0.2284490065646812,27.848726062240022,0.0,549.7069928141276,5.942410714285715,3.3916666666666666,2.5657894736842106,2.2819444444444446,0.4525376561144071,0.47344210796031583,139.07909599611094,12.879896421163918,0.2526945074084252,0.6597222222222222
medium,101,elo,multi_objective,baseline,336,0.6930586198851938,0.24995087375808137,366.0783668363553,476.6311414344517,0.09339119523623923,0.1444775790094723,8.160954199261306,0.0,3790.8787590581196,5.968452380952381,2.0,0.3246753246753247,2.9069444444444446,0.30789146673423284,0.3402316792062823,138.5243948606202,8.015846695690804,0.13318151147389948,0.44583333333333336
medium,101,dynamic_k,random,baseline,966,0.6969047168269787,0.2516720906947761,356.4085970079966,464.68777987935647,0.17932971313016494,0.20699553986137834,45.49920964618151,0.0,6158.785344330729,6.07360248447205,2.6333333333333333,2.3333333333333335,1.7902777777777779,0.4480298883878428,0.4711372744055902,140.9627252116184,25.61292702227965,0.23703319280075913,0.8833333333333333
medium,101,dynamic_k,nearest,baseline,1470,0.6937911453454871,0.25030006906509406,342.435349666898,448.25766598219735,0.16839221347300087,0.22975547646406158,47.9023724237806,0.0,87.4901934764375,6.126326530612245,3.533333333333333,2.357142857142857,2.0069444444444446,0.45736959931822685,0.47600285664676867,143.6318890792509,22.90267257198201,0.2774908140106851,0.6708333333333333
medium,101,dynamic_k,expanding,baseline,1470,0.6937911453454871,0.25030006906509406,342.435349666898,448.25766598219735,0.16839221347300087,0.22975547646406158,47.9023724237806,0.0,87.4901934764375,6.126326530612245,3.533333333333333,2.357142857142857,2.0069444444444446,0.45736959931822685,0.47600285664676867,143.6318890792509,22.90267257198201,0.2774908140106851,0.6708333333333333
medium,101,dynamic_k,role_aware,baseline,336,0.6967196145445295,0.25177639510967836,363.6277239079537,471.9532013124084,0.134039202269898,0.1371156643515349,8.18817894659154,0.0,4016.344858401157,5.942857142857143,1.9861111111111112,0.475,3.1819444444444445,0.2929690659913707,0.3273672715908653,142.61242719093275,15.23434556191202,0.1400505260148321,0.4222222222222222
medium,101,dynamic_k,fairness_constrained,baseline,1218,0.6935939199220114,0.2502078419452051,348.2431418779624,454.9880857441786,0.16295377169683134,0.22211156629068907,46.068698846368314,0.0,729.7597119191906,6.10911330049261,3.158333333333333,2.287671232876712,2.4069444444444446,0.4558668581459057,0.47462971721732894,142.7802788125282,22.30338611188022,0.24800749538400474,0.6652777777777777
medium,101,dynamic_k,multi_objective,baseline,336,0.6967196145445295,0.25177639510967836,363.6277239079537,471.9532013124084,0.134039202269898,0.1371156643515349,8.18817894659154,0.0,4016.344858401157,5.942857142857143,1.9861111111111112,0.475,3.1819444444444445,0.2929690659913707,0.3273672715908653,142.61242719093275,15.23434556191202,0.1400505260148321,0.4222222222222222
medium,101,glicko_like,random,baseline,966,0.6964659258251273,0.2515153836770579,355.3286122315212,465.3624405597845,0.1557897008216999,0.2170385784922773,38.09872713200154,0.0,6005.150032862282,6.03944099378882,2.811111111111111,2.515151515151515,1.8472222222222223,0.44101212094391884,0.46502395064411145,139.4270583692044,22.167967900103005,0.24015960694302382,0.8819444444444444
medium,101,glicko_like,nearest,baseline,1470,0.6937913973455041,0.25031621970390494,349.5217768640487,457.621629782583,0.13739579080633646,0.22956030409077505,37.59789489044185,0.0,88.6721117805535,6.126326530612245,3.6166666666666667,2.676056338028169,1.711111111111111,0.4576435847447658,0.4740386572625252,140.47245641440205,18.01996939944365,0.2794489898833667,0.6680555555555555
